gid,x,y,z,cluster,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
268,-615.7,-1142.0,292.2,69,10,2,8,163.3,0.4,2208.0,365.3
269,-208.8,-1108.7,1437.8,9,10,2,8,205.0,0.6,2306.6,367.2
270,-43.3,-908.2,291.6,54,11,2,9,134.5,0.3,2941.3,459.9
271,-768.0,-1190.6,227.1,6,11,1,10,190.8,0.5,2089.9,419.6
272,-180.6,-953.8,716.2,72,11,4,7,138.7,0.3,2593.2,414.9
273,-344.3,-1030.3,615.6,47,10,1,9,198.5,0.5,2317.2,421.2
274,-195.3,-1028.9,607.4,34,9,2,7,165.8,0.4,1901.6,390.4
275,-198.2,-929.5,783.7,72,10,1,8,157.4,0.4,1408.2,444.9
276,-49.9,-877.8,873.6,11,9,1,7,168.5,0.4,1549.8,384.4
277,-701.8,-1067.3,50.3,50,9,2,7,165.0,0.5,1341.9,317.6
278,-424.5,-984.5,318.0,74,8,1,7,174.7,0.5,1267.4,368.4
279,-108.9,-891.8,429.0,54,12,4,8,165.6,0.4,2893.1,429.9
280,-80.3,-1023.4,1093.5,12,11,2,9,155.4,0.3,2262.4,445.1
281,-154.5,-959.9,317.7,54,9,1,8,160.6,0.4,2536.2,428.2
282,-167.4,-969.2,926.7,66,7,2,4,168.0,0.4,2046.1,421.5
283,-70.7,-1137.3,1425.6,2,12,2,10,163.8,0.4,2623.9,415.3
284,-693.8,-1069.7,403.0,59,10,5,4,121.2,0.4,1909.7,328.3
285,-280.6,-1112.5,1122.5,3,11,1,10,158.2,0.4,2305.8,405.9
286,-601.0,-1131.2,667.2,16,11,3,8,136.1,0.3,3035.1,449.2
287,-817.6,-1098.0,296.5,44,10,1,9,157.2,0.4,2273.7,417.7
288,-90.5,-966.1,374.1,54,8,4,4,152.3,0.3,2413.9,451.1
289,-487.7,-992.2,453.0,42,10,1,9,207.3,0.4,2346.6,472.8
290,-38.7,-883.9,894.7,11,8,3,5,175.8,0.5,1848.6,388.3
291,-843.3,-1127.8,323.5,44,8,4,4,158.5,0.4,1975.7,368.3
292,-16.8,-1028.2,420.6,38,11,3,8,176.1,0.4,2953.7,397.7
293,-345.2,-974.6,624.4,15,11,1,10,191.1,0.5,1630.5,396.5
294,-60.2,-848.2,361.4,54,11,2,9,168.8,0.4,2609.8,426.8
295,-350.0,-915.4,205.8,26,9,1,8,139.2,0.5,1464.5,293.8
296,-146.3,-838.4,473.8,60,10,2,8,177.0,0.4,2774.9,484.0
297,-549.2,-1090.2,555.0,16,13,2,11,166.4,0.4,2260.9,370.7
298,5.3,-854.1,510.1,25,12,1,11,160.1,0.3,3007.6,476.2
299,-86.7,-870.1,897.3,11,12,2,10,208.4,0.5,2535.0,384.2
300,-761.6,-1130.3,470.9,8,10,1,9,171.5,0.4,2026.9,465.0
301,-474.1,-1079.5,403.6,31,11,2,9,157.5,0.3,3029.2,453.7
302,-281.5,-830.4,445.2,23,11,3,8,149.2,0.4,2613.0,423.2
303,-156.1,-792.1,377.6,51,10,3,7,167.9,0.4,2803.9,443.0
304,-55.1,-952.3,1170.2,62,11,2,9,137.5,0.4,2393.2,351.3
305,-124.9,-884.7,229.7,48,7,2,5,175.2,0.5,1240.8,386.3
306,-461.4,-1117.9,837.4,19,6,2,4,98.2,0.4,862.7,224.3
307,-464.9,-975.1,552.0,22,9,2,7,191.8,0.5,1667.5,389.9
308,-488.9,-1073.6,691.4,19,10,3,7,158.2,0.4,2264.4,403.5
309,-259.3,-985.3,855.5,72,12,1,9,149.5,0.4,1951.0,363.3
310,-91.8,-913.6,775.6,71,9,5,4,215.3,0.5,2058.7,436.4
311,-80.2,-1168.5,1502.5,21,9,1,8,161.0,0.3,2145.0,468.8
312,-338.3,-917.2,441.2,23,11,1,10,181.3,0.4,2518.1,419.4
313,-3.6,-1058.4,1088.9,35,11,2,9,153.2,0.4,2288.4,412.0
314,-176.0,-1135.6,934.6,55,9,1,8,180.3,0.4,1828.3,444.5
315,-39.3,-978.7,1145.4,12,11,1,9,156.3,0.4,1999.0,408.7
316,-79.4,-1003.8,800.2,70,8,2,4,112.7,0.3,1199.5,346.4
317,-498.7,-1055.2,32.6,45,11,2,8,221.7,0.5,2588.1,426.5
318,-65.9,-804.1,187.8,48,9,4,4,117.9,0.4,1571.9,299.6
319,-113.0,-1142.6,932.8,55,12,1,10,194.5,0.5,2275.9,382.9
320,-60.0,-815.6,890.3,11,12,2,10,132.3,0.4,2446.4,362.5
321,-225.7,-1032.3,813.1,13,10,2,8,165.5,0.4,2463.6,415.3
322,-533.4,-1082.1,327.3,17,9,3,6,155.0,0.4,2134.8,423.0
323,-206.8,-1050.5,912.2,13,9,3,6,130.2,0.3,2458.6,385.8
324,-245.1,-869.7,563.6,60,9,4,5,159.3,0.4,2301.7,433.9
325,-57.5,-1072.8,1562.9,21,11,2,9,170.0,0.5,1604.9,341.7
326,-239.8,-1097.1,835.6,13,12,2,10,157.4,0.4,3018.3,409.0
327,-69.1,-961.0,592.8,5,11,2,9,190.8,0.5,2415.9,385.0
328,-549.3,-1005.5,148.3,73,11,1,10,216.6,0.5,2557.6,450.4
329,-318.9,-1005.6,588.7,47,10,2,8,172.9,0.5,1666.4,354.1
330,-394.2,-969.7,378.7,4,10,2,8,169.9,0.5,2196.9,366.9
331,-452.1,-1070.6,521.8,63,11,2,9,160.0,0.4,2512.9,375.3
332,-272.4,-994.6,771.5,72,8,2,6,137.5,0.5,1128.1,304.2
333,-219.5,-1137.1,1446.7,9,11,3,8,144.6,0.4,1792.1,402.2
334,-190.7,-1145.6,1586.4,28,9,3,6,84.4,0.3,1012.5,282.0
335,-281.1,-963.2,709.0,72,10,4,6,211.1,0.5,2227.1,416.7
336,-341.7,-927.6,446.1,23,10,2,8,165.6,0.4,2439.4,455.1
337,-201.5,-1013.4,646.1,34,14,4,10,175.6,0.4,3016.0,413.1
338,-37.7,-909.1,1020.9,29,8,1,6,111.5,0.4,853.4,315.4
339,-48.8,-1007.9,1372.7,32,9,4,5,147.7,0.3,2712.4,471.0
340,-39.9,-997.4,1090.4,12,12,1,10,119.3,0.3,2229.3,416.3
341,-163.0,-974.4,801.0,72,6,3,3,183.7,0.5,1699.1,361.9
342,-113.1,-1041.0,963.3,55,9,4,5,167.5,0.4,2216.1,428.6
343,-693.9,-1090.7,266.1,14,7,2,5,171.3,0.4,1795.9,436.6
344,-511.3,-949.7,460.2,22,11,1,10,212.9,0.5,2156.4,456.0
345,-191.6,-1145.3,1175.3,3,9,1,8,139.8,0.3,2107.2,436.4
346,-607.2,-1049.1,206.7,58,10,1,9,149.0,0.3,2318.6,460.3
347,-324.8,-916.2,477.9,23,10,1,9,136.8,0.3,2798.8,407.1
348,-769.8,-1158.0,439.4,8,10,1,9,160.9,0.4,1778.6,423.8
349,-106.1,-1025.4,1278.3,24,9,4,5,193.7,0.5,2798.9,410.9
350,-23.7,-1092.2,1341.5,32,7,2,5,130.5,0.4,1451.1,354.4
351,-125.9,-791.0,184.2,48,7,3,4,117.6,0.3,1554.4,377.9
352,-122.0,-838.6,184.8,48,9,4,4,133.3,0.4,1642.6,312.0
353,-726.1,-1111.8,481.7,8,9,3,6,202.9,0.5,1994.2,408.8
354,-245.8,-981.4,446.1,30,10,2,7,162.9,0.4,2191.5,463.3
355,-422.5,-1106.5,756.1,65,12,3,9,147.8,0.4,2858.6,372.3
